length	cima	cima_log
10000	0.023000	0.001000
20000	0.044000	0.001000
30000	0.066000	0.001000
40000	0.088000	0.001000
50000	0.114000	0.001000
60000	0.145000	0.002000
70000	0.168000	0.001000
80000	0.175000	0.001000
90000	0.198000	0.001000
100000	0.219000	0.001000
110000	0.241000	0.001000
120000	0.277000	0.001000
130000	0.284000	0.001000
140000	0.306000	0.001000
150000	0.341000	0.001000
160000	0.360000	0.001000
170000	0.370000	0.002000
180000	0.404000	0.001000
190000	0.414000	0.001000
200000	0.448000	0.001000
210000	0.457000	0.002000
220000	0.493000	0.001000
230000	0.501000	0.001000
240000	0.553000	0.001000
250000	0.545000	0.001000
260000	0.580000	0.002000
270000	0.587000	0.001000
280000	0.622000	0.001000
290000	0.643000	0.001000
300000	0.659000	0.001000
310000	0.700000	0.001000
320000	0.722000	0.002000
330000	0.718000	0.001000
340000	0.762000	0.001000
350000	0.779000	0.001000
360000	0.796000	0.001000
370000	0.818000	0.001000
380000	0.848000	0.001000
390000	0.849000	0.002000
400000	0.896000	0.002000
410000	0.923000	0.001000
420000	0.940000	0.001000
430000	0.952000	0.001000
440000	0.998000	0.001000
450000	1.026000	0.001000
460000	1.018000	0.001000
470000	1.035000	0.001000
480000	1.056000	0.001000
490000	1.078000	0.001000
500000	1.103000	0.001000
510000	1.142000	0.002000
520000	1.148000	0.001000
530000	1.168000	0.001000
540000	1.192000	0.002000
550000	1.237000	0.001000
560000	1.243000	0.001000
570000	1.268000	0.001000
580000	1.281000	0.002000
590000	1.355000	0.002000
600000	1.324000	0.002000
610000	1.343000	0.001000
620000	1.386000	0.001000
630000	1.413000	0.002000
640000	1.406000	0.002000
650000	1.441000	0.001000
660000	1.454000	0.002000
670000	1.499000	0.001000
680000	1.515000	0.001000
690000	1.528000	0.002000
700000	1.551000	0.001000
710000	1.629000	0.001000
720000	1.586000	0.002000
730000	1.636000	0.001000
740000	1.632000	0.001000
750000	1.664000	0.001000
760000	1.690000	0.002000
770000	1.737000	0.001000
780000	1.719000	0.001000
790000	1.760000	0.001000
800000	1.775000	0.002000
810000	1.791000	0.001000
820000	1.810000	0.001000
830000	1.850000	0.002000
840000	1.904000	0.001000
850000	1.892000	0.001000
860000	2.009000	0.001000
870000	2.044000	0.003000
880000	1.988000	0.002000
890000	2.120000	0.002000
900000	2.015000	0.002000
910000	2.078000	0.001000
920000	2.129000	0.002000
930000	2.156000	0.001000
940000	2.127000	0.001000
950000	2.149000	0.001000
960000	2.142000	0.002000
970000	2.154000	0.001000
980000	2.221000	0.002000
990000	2.196000	0.001000
